id;Nama;Age;Balanced;No 2b Thread-No;No 3 Thread-No;Previous Balanced;Average Balanced;No 1 Thread-No;Free Transfer;No 2a Thread-No
39;Isaac;45;142;25;46;82;107.0;25;5;25
40;Lincoln;24;145;25;41;152;143.5;25;5;25
41;Anthony;27;192;25;46;177;167.0;25;2;25
42;Hudson;45;98;25;41;105;96.5;25;3;25
43;Dylan;29;234;25;46;182;190.5;25;2;25
44;Ezra;22;75;25;41;177;121.0;25;0;25
45;Thomas;31;90;25;46;93;86.5;25;3;25
46;Charles;44;89;26;41;127;103.0;26;0;26
47;Christopher;31;229;26;46;122;158.0;26;3;26
48;Jaxon;41;74;26;41;128;96.0;26;1;26
49;Maverick;40;76;26;46;147;106.5;26;4;26
50;Josiah;43;155;26;41;74;109.5;26;5;26
51;Isaiah;20;220;26;46;152;168.5;26;2;26
52;Andrew;51;159;26;41;137;143.0;26;5;26
53;Elias;45;215;26;46;102;141.0;26;4;26
54;Joshua;46;133;40;41;100;111.5;40;5;40
55;Nathan;53;129;40;46;118;118.5;40;5;40
56;Caleb;23;191;40;41;122;139.0;40;0;40
57;Ryan;33;202;40;46;64;115.5;40;3;40
58;Adrian;40;191;40;41;77;116.5;40;0;40
59;Miles;32;124;22;41;134;124.0;22;5;22
60;Eli;23;72;40;41;170;116.0;40;3;40
61;Nolan;20;132;40;46;91;106.5;40;5;40
62;Christian;21;216;40;41;81;131.0;40;2;40
63;Aaron;21;155;40;46;124;134.5;40;5;40
64;Cameron;29;229;22;41;174;184.0;22;1;22
65;Ezekiel;50;149;40;46;112;125.5;40;5;40
66;Colton;27;143;22;47;154;143.5;22;5;22
67;Luca;29;63;40;48;96;74.5;40;4;40
68;Landon;52;224;22;47;100;144.5;22;2;22
69;Hunter;36;190;40;47;82;118.5;40;2;40
70;Jonathan;37;73;22;47;171;117.0;22;2;22
71;Santiago;43;128;40;47;154;136.0;40;5;40
72;Axel;31;136;22;48;95;110.5;22;5;22
73;Easton;46;101;40;47;168;129.5;40;1;40
74;Cooper;43;116;22;48;197;151.5;22;5;22
75;Jeremiah;30;104;40;47;191;142.5;40;2;40
76;Angel;28;92;22;48;124;103.0;22;2;22
77;Roman;52;120;40;48;73;91.5;40;5;40
78;Connor;28;107;22;48;163;130.0;22;1;22
79;Jameson;48;231;40;47;186;191.0;40;4;40
80;Robert;40;133;22;48;102;112.5;22;5;22
81;Greyson;32;188;40;47;155;154.0;40;4;40
82;Jordan;49;118;22;48;102;105.0;22;5;22
83;Ian;40;84;40;47;136;105.0;40;4;40
84;Carson;41;104;22;48;92;93.0;22;4;22
85;Jaxson;44;111;40;48;158;129.5;40;5;40
86;Leonardo;35;132;22;48;104;113.0;22;5;22
87;Nicholas;53;193;40;48;62;110.0;40;3;40
88;Dominic;50;123;22;48;66;89.5;22;5;22
89;Austin;21;130;40;48;96;108.0;40;5;40
90;Everett;51;105;22;43;190;142.5;22;2;22
91;Brooks;20;193;24;48;103;130.5;24;0;24
92;Xavier;20;136;27;44;103;114.5;27;5;27
93;Kai;39;222;24;42;64;125.5;24;0;24
94;Jose;38;139;27;42;148;138.5;27;5;27
95;Parker;39;154;27;42;154;149.0;27;5;27
96;Adam;39;142;27;42;59;95.5;27;5;27
97;Jace;28;212;27;42;160;168.5;27;3;27
98;Wesley;44;147;27;42;70;103.5;27;5;27
99;Kayden;29;96;27;42;50;68.0;27;1;27
100;Silas;30;133;27;42;86;104.5;27;5;27
101;Bennett;50;50;27;44;178;114.0;27;3;27
102;Declan;24;53;27;42;134;93.5;27;4;27
103;Waylon;37;99;27;42;84;91.5;27;4;27
104;Weston;47;51;27;42;148;99.5;27;3;27
105;Evan;29;207;27;42;199;190.5;27;1;27
106;Emmett;23;71;27;42;191;131.0;27;2;27
107;Micah;50;224;27;42;51;125.0;27;0;27
108;Ryder;46;89;27;45;167;128.0;27;2;27
109;Beau;31;77;27;42;52;64.5;27;2;27
110;Damian;28;64;27;44;177;120.5;27;1;27
111;Brayden;26;214;27;41;173;181.0;27;3;27
112;Gael;45;140;27;41;119;129.5;27;5;27
113;Rowan;52;121;27;41;159;140.0;27;5;27
114;Harrison;39;197;27;41;136;154.0;27;4;27
115;Bryson;49;50;27;41;177;113.5;27;4;27
116;Sawyer;47;127;27;41;93;110.0;27;5;27
117;Amir;25;85;27;41;59;72.0;27;0;27
118;Kingston;42;50;27;41;167;108.5;27;3;27
119;Jason;35;88;27;41;51;69.5;27;3;27
120;Giovanni;39;105;27;46;111;108.0;27;5;27
121;Vincent;25;135;27;46;51;93.0;27;5;27
122;Ayden;39;122;27;47;168;145.0;27;5;27
123;Chase;48;135;27;47;153;144.0;27;5;27
124;Myles;40;138;27;48;80;109.0;27;5;27
125;Diego;24;117;27;47;64;90.5;27;5;27
126;Nathaniel;42;137;27;47;197;167.0;27;5;27
127;Legend;21;96;27;48;103;99.5;27;2;27
128;Jonah;51;97;27;44;95;96.0;27;4;27
129;River;52;201;27;44;159;167.5;27;3;27
130;Tyler;20;66;27;44;142;104.0;27;3;27
131;Cole;29;55;27;44;165;110.0;27;4;27
132;Braxton;23;185;27;44;80;120.0;27;4;27
133;George;39;123;27;43;65;94.0;27;5;27
134;Milo;29;206;27;44;198;189.5;27;1;27
135;Zachary;29;78;27;44;78;78.0;27;0;27
136;Ashton;23;59;27;44;61;60.0;27;4;27
137;Luis;53;134;27;44;74;104.0;27;5;27
138;Jasper;50;102;27;43;122;112.0;27;5;27
139;Kaiden;23;210;27;44;165;175.0;27;0;27
140;Adriel;28;104;27;43;53;78.5;27;5;27
141;Gavin;26;204;27;44;117;148.0;27;3;27
142;Bentley;49;134;27;43;195;164.5;27;5;27
143;Calvin;42;145;27;44;200;172.5;27;5;27
144;Zion;48;67;27;43;57;62.0;27;4;27
145;Juan;45;129;27;44;115;122.0;27;5;27
146;Maxwell;34;58;27;43;189;123.5;27;1;27
147;Max;30;180;27;44;156;155.5;27;3;27
148;Ryker;29;137;27;43;104;120.5;27;5;27
149;Carlos;22;112;27;44;179;145.5;27;5;27
150;Emmanuel;43;110;27;43;119;114.5;27;5;27
151;Jayce;44;90;27;44;126;108.0;27;3;27
152;Lorenzo;47;137;27;43;105;121.0;27;5;27
153;Ivan;42;70;24;44;139;104.5;24;1;24
154;Jude;49;66;27;43;121;93.5;27;0;27
155;August;27;147;27;44;76;111.5;27;5;27
156;Kevin;40;131;24;43;110;120.5;24;5;24
157;Malachi;20;86;27;44;69;77.5;27;4;27
158;Elliott;39;206;24;45;147;164.0;24;2;24
159;Rhett;45;200;27;42;156;165.5;27;1;27
160;Archer;24;202;24;45;69;123.0;24;4;24
161;Karter;42;113;27;45;52;82.5;27;5;27
162;Arthur;40;186;24;45;82;121.5;24;4;24
163;Luka;20;119;27;42;73;96.0;27;5;27
164;Elliot;24;139;24;45;58;98.5;24;5;24
165;Thiago;23;78;27;42;68;73.0;27;4;27
166;Brandon;27;116;24;45;120;118.0;24;5;24
167;Camden;45;139;27;42;148;143.5;27;5;27
168;Justin;22;109;24;45;98;103.5;24;5;24
169;Jesus;25;225;27;42;94;147.0;27;1;27
170;Maddox;27;128;24;45;148;138.0;24;5;24
171;King;32;99;27;42;183;141.0;27;2;27
172;Theo;28;52;24;45;84;68.0;24;1;24
173;Enzo;39;132;27;42;60;96.0;27;5;27
174;Matteo;30;58;24;45;192;125.0;24;4;24
175;Emiliano;51;202;27;42;144;160.5;27;4;27
176;Dean;45;202;24;45;191;184.0;24;0;24
177;Hayden;39;118;27;42;195;156.5;27;5;27
178;Finn;34;122;24;45;79;100.5;24;5;24
179;Brody;52;59;27;42;190;124.5;27;4;27
180;Antonio;32;179;24;45;62;108.0;24;1;24
181;Abel;40;148;27;42;188;168.0;27;5;27
182;Alex;34;76;24;45;67;71.5;24;2;24
183;Tristan;30;131;27;42;119;125.0;27;5;27
184;Graham;51;93;24;45;61;77.0;24;1;24
185;Zayden;31;91;27;41;102;96.5;27;4;27
186;Judah;27;137;24;45;113;125.0;24;5;24
187;Xander;44;65;27;42;159;112.0;27;4;27
188;Miguel;35;177;24;45;112;132.0;24;0;24
189;Atlas;48;145;27;42;144;144.5;27;5;27
190;Messiah;27;67;24;45;66;66.5;24;2;24
191;Barrett;21;88;27;42;144;116.0;27;3;27
192;Tucker;25;204;24;45;185;182.0;24;3;24
193;Timothy;32;132;27;42;63;97.5;27;5;27
194;Alan;40;97;24;45;51;74.0;24;4;24
195;Edward;45;137;27;42;104;120.5;27;5;27
196;Leon;53;65;24;45;197;131.0;24;1;24
197;Dawson;24;107;27;42;151;129.0;27;5;27
198;Eric;47;130;24;45;73;101.5;24;5;24
199;Ace;32;192;27;42;101;134.0;27;3;27
200;Victor;53;60;24;45;148;104.0;24;2;24
